"","tract","Year","City","Community_Name","Detailed_Name","SPA","SD","CD","ca_ssd","ca_sad","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople"
"39",106111,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"40",106112,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,7,0,0,1,0,2,0,0,2,0,4,0,0,0,130,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,170,0,0,170,183
"41",106113,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,9,0,0,0,0,14,0,6,0,0,29,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50
"42",106114,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,2,0,0,0,2,6,0,2,0,4,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
"43",106403,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
"44",106405,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"45",106406,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,1,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
"46",106407,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",106408,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"48",106510,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,0,0,0,0,1,5,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
"49",106520,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,0,0,0,11,1,6,4,3,17,2,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44
