STATE_FIPS,CNTY_FIPS,STCOFIPS,Tract,FIPS,SQMI,Jurisdiction,Year,Opt In,Counted,Opt In Name,City,Community Name,Community Type,Region ID,Region Name,Region,Alias,Street Singles,Street Family,Street_UYouth,Cars,Vans,Campers,Tents,Encampments,Units,Car People,VanPeople,Camper People,Tent People,Encamp People,YouthCount15,YouthCount13,ES_Single,ES_Family,ES_UYouth,TH_Singles,TH_Family,TH_UYouth,Street Count,Unsheltered,ES_People,TH_People,Sheltered,Individual,Family Members,Unaccompanied,2015_Total,2015Total_woYouth
6,37,6037,294830,6037294830,0.27,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,28,0,1,6,6,3,3,1,19,9,10,5,5,2,0,0,0,0,0,0,0,0,60,60,0,0,0,59,0,1,60,60
6,37,6037,294900,6037294900,0.89,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2
6,37,6037,295101,6037295101,2.77,Northwest San Pedro NC,2015,Yes,Yes,Northwest San Pedro NC,Los Angeles,San Pedro ,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8,0,0,8,8
6,37,6037,296100,6037296100,3.24,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,296210,6037296210,0.53,Central San Pedro NC,2015,Yes,Yes,Central San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,9,0,0,0,0,0,0,2,2,0,0,0,0,4,1,0,0,0,0,0,0,0,13,14,0,0,0,13,0,0,14,13
6,37,6037,296220,6037296220,0.2,Central San Pedro NC,2015,Yes,Yes,Central San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,10,0,1,1,0,4,3,4,12,1,0,7,5,8,1,0,0,0,0,0,0,0,32,33,0,0,0,31,0,1,33,32
6,37,6037,296300,6037296300,0.38,Northwest San Pedro NC,2015,Yes,Yes,Northwest San Pedro NC,Los Angeles,San Pedro ,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,15,0,1,1,4,10,0,0,15,1,7,18,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,41,0,1,42,42
6,37,6037,296400,6037296400,0.81,Northwest San Pedro NC,2015,Yes,Yes,Northwest San Pedro NC,Los Angeles,San Pedro ,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,2,0,0,1,0,0,4,0,5,1,0,0,6,0,0,0,0,0,0,0,0,0,9,9,0,0,0,9,0,0,9,9
6,37,6037,296500,6037296500,0.35,Central San Pedro NC,2015,Yes,Yes,Central San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,5,0,0,0,1,1,0,2,4,0,2,2,0,4,0,0,0,0,0,0,0,0,13,13,0,0,0,13,0,0,13,13
6,37,6037,296600,6037296600,0.32,Central San Pedro NC,2015,Yes,Yes,Central San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,14,0,0,0,0,0,0,5,5,0,0,0,0,10,9,0,2,47,0,0,0,0,24,33,49,0,49,26,47,0,82,73
6,37,6037,296900,6037296900,0.43,Central San Pedro NC,2015,Yes,Yes,Central San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,16,0,0,1,1,2,0,0,4,1,2,4,0,0,0,0,0,0,0,0,38,0,23,23,0,38,38,23,38,0,61,61
6,37,6037,297000,6037297000,0.66,Northwest San Pedro NC,2015,Yes,Yes,Northwest San Pedro NC,Los Angeles,San Pedro ,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,0,0,0,0,1,0,0,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,4,4
6,37,6037,297110,6037297110,0.19,Central San Pedro NC,2015,Yes,Yes,Central San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,11,0,0,2,0,6,2,5,15,3,0,11,3,10,1,0,2,12,0,2,27,0,38,39,14,29,43,42,39,0,82,81
6,37,6037,297120,6037297120,0.59,Coastal San Pedro NC,2015,Yes,Yes,Coastal San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,0,0,0,0,1,5,0,0,6,0,2,9,0,0,2,0,0,0,0,0,0,0,11,13,0,0,0,11,0,0,13,11
6,37,6037,297200,6037297200,0.43,Coastal San Pedro NC,2015,Yes,Yes,Coastal San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,3,0,0,0,0,4,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,10,10
6,37,6037,297300,6037297300,0.57,Coastal San Pedro NC,2015,Yes,Yes,Coastal San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2
6,37,6037,297400,6037297400,0.7,Coastal San Pedro NC,2015,Yes,Yes,Coastal San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,3,0,0,0,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,7,0,0,7,7
6,37,6037,297500,6037297500,0.62,Coastal San Pedro NC,2015,Yes,Yes,Coastal San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,297600,6037297600,0.66,Coastal San Pedro NC,2015,Yes,Yes,Coastal San Pedro NC,Los Angeles,San Pedro,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,1,0,4,1,0,0,0,2,3,1,0,0,0,4,2,0,0,0,0,0,0,0,10,12,0,0,0,6,0,4,12,10
6,37,6037,300100,6037300100,1.82,La Crescenta-Montrose,2015,No,No,La Crescenta-Montrose,Unincorporated,La Crescenta-Montrose,Unincorporated,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,300200,6037300200,0.75,La Crescenta-Montrose,2015,No,No,La Crescenta-Montrose,Unincorporated,La Crescenta-Montrose,Unincorporated,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,300501,6037300501,0.51,La Crescenta-Montrose,2015,No,No,La Crescenta-Montrose,Unincorporated,La Crescenta-Montrose,Unincorporated,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,300502,6037300502,0.65,La Crescenta-Montrose,2015,No,No,La Crescenta-Montrose,Unincorporated,La Crescenta-Montrose,Unincorporated,SPA 7,Service Planning Area 7,East LA County,SPA 7-East LA County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,310100,6037310100,5.11,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,16,0,0,2,0,2,0,2,6,3,0,4,0,4,0,0,0,0,0,0,0,0,27,27,0,0,0,27,0,0,27,27
6,37,6037,310200,6037310200,0.78,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,310300,6037310300,0.41,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
